time,ground_pelvis_0,ground_pelvis_1,ground_pelvis_2,ground_pelvis_4,hip_r_0,hip_r_1,knee_r_0,ankle_r_0,hip_l_0,hip_l_1,knee_l_0,ankle_l_0
0.13426171874999968,0.005178790939362324,0.048535151444926636,0.03233880351288349,0.9393809704021215,-0.046585109708231966,-0.020642405801770247,-0.0819980991166598,0.12418610619980584,0.3573878373949235,0.027594169295309293,-0.7810248224723461,-0.03874882819792763
0.13651171874999943,0.0055864412622055725,0.04929686941831413,0.03127966002370454,0.9392546039721471,-0.05058086260791828,-0.021440265310675208,-0.08049828877783573,0.12620177113630324,0.3594010140833062,0.02882395682326964,-0.7710010813873627,-0.03592287624185103
0.13876171874999918,0.005974651998282045,0.0500310436863759,0.03018814623408339,0.9391158983058722,-0.054532500105683335,-0.02222111968431784,-0.07904884512385596,0.1282312876161596,0.3613447452234058,0.030016860577613914,-0.7607774520703932,-0.033234258386339144
0.14075000000000001,0.006305033489234894,0.050657512455515356,0.02919684753440566,0.9389833577378975,-0.05799234233128451,-0.022896982180841876,-0.07780912100308579,0.1300351850156662,0.3629990104118058,0.031040054271337648,-0.7515797618059331,-0.03093106918386223
0.14299999999999977,0.006667703213346341,0.05134235708210229,0.028044600148176387,0.9388223728210553,-0.061875202558852364,-0.02364629637664165,-0.07645249631282203,0.13209473158637974,0.36479469899796735,0.03216272713367776,-0.7409903614856956,-0.028385317916080625
0.14524999999999952,0.007014113338602346,0.05200259727165224,0.026856769379286854,0.9386494358132438,-0.06571664759686582,-0.02437958187812476,-0.07514992433334694,0.13417320070491723,0.36651362232941015,0.03324609907760271,-0.7302131139739351,-0.025905848845205116
0.14749999999999927,0.00733983410248343,0.05263975874437749,0.025631577276662293,0.9384643022475601,-0.06950996321270378,-0.025097964397207274,-0.07390564993012592,0.13626413366273366,0.3681606759359493,0.034289265111504826,-0.7192522069945158,-0.02351324297597873
0.14974999999999902,0.007644839964069682,0.05325627304339054,0.0243695613357636,0.9382670830576652,-0.07325511435164443,-0.025803594628642946,-0.07272045451276217,0.138365422277706,0.3697360758520796,0.03529323652905851,-0.7081112938830474,-0.021236298662433165
0.15149999999999994,0.007869750311876625,0.05372335030615962,0.023363837447381422,0.9381055557647215,-0.07613777552886605,-0.02634528013818229,-0.07183844465494844,0.14001180266593685,0.3709098485859308,0.03604841186574321,-0.6993241070481954,-0.019563730187809488
0.1537499999999997,0.008142342774268318,0.05430953532660607,0.022039175469052236,0.9378874279075008,-0.0798036536758614,-0.027033887513251104,-0.07075767406166567,0.1421502130061836,0.3723539293723682,0.0369864952215194,-0.6878733175645341,-0.017560221620281445
0.15599999999999944,0.008391480143790929,0.05488005715069384,0.020676574624156528,0.9376572500876863,-0.08341579474990708,-0.027713633929792068,-0.06974310428345516,0.14430800379452596,0.37373079960686373,0.03788549390118566,-0.6762557461856512,-0.015740340909544244
0.1582499999999992,0.00861503151079947,0.05543522675507176,0.01927491677919882,0.9374149492956974,-0.08696981900930542,-0.02838433615732562,-0.06879913265979569,0.14647777582350022,0.3750434841687992,0.0387435568489285,-0.6644772155468571,-0.014116864541007145
0.1601250000000001,0.008783508101995912,0.05588667679056883,0.018077689172409993,0.9372039667741322,-0.08988901175946185,-0.028936601151758216,-0.06806688755320393,0.14829576467183495,0.376086849074355,0.039427079995294136,-0.6545429931172778,-0.012917356346221081
0.16224999999999987,0.008958295434289009,0.05638667086247775,0.016690305371358443,0.9369552058299715,-0.09315533391172788,-0.02955554858000606,-0.06729589880095126,0.1503761420784257,0.37721053356970347,0.040167421437948,-0.643158551674776,-0.011724541963265691
0.16449999999999962,0.009123934156126424,0.05690243686107479,0.015185869495398465,0.9366806373691602,-0.0965629163145141,-0.03020224410005292,-0.0665508711607005,0.1526045420892303,0.37833407354083665,0.04091023503531984,-0.6309653582324617,-0.010652796495299387
0.16674999999999937,0.009266137294836104,0.057403692829374825,0.013643858514125867,0.9363943941572521,-0.09991161908535627,-0.030839089404256177,-0.06588464840555731,0.15484916169363222,0.3793945821983422,0.0416085047715617,-0.6186359987559285,-0.009779994529866136
